Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Carnot|French physicist who founded thermodynamics (1796-1832)
Carothers|United States chemist who developed nylon (1896-1937)
Carrel|French surgeon and biologist who developed a way to suture and graft blood vessels (1873-1944)
Carrere|United States architect who with his partner Thomas Hastings designed many important public buildings (1858-1911)
Carroll|English author; Charles Dodgson was an Oxford don of mathematics who is remembered for the children's stories he wrote under the pen name Lewis Carroll (1832-1898)
Carson|United States frontiersman who guided Fremont's expeditions in the 1840s and served as a Union general in the American Civil War (1809-1868)
Carson|United States biologist remembered for her opposition to the use of pesticides that were hazardous to wildlife (1907-1964)
Carter|39th President of the United States (1924-)
Carter|Englishman and Egyptologist who in 1922 discovered and excavated the tomb of Tutankhamen (1873-1939)
Cartier|French explorer who explored the St. Lawrence river and laid claim to the region for France (1491-1557)
Cartwright|English clergyman who invented the power loom (1743-1823)
Caruso|outstanding Italian operatic tenor (1873-1921)
Carver|United States botanist and agricultural chemist who developed many uses for peanuts and soy beans and sweet potatoes (1864-1943)
Casals|an outstanding Spanish cellist noted for his interpretation of Bach's cello suites (1876-1973)
Casanova|an Italian adventurer who wrote vivid accounts of his sexual encounters (1725-1798)
Cash|United States country music singer and songwriter (1932-2003)
Caspar|(New Testament) one of the three sages from the east who came bearing gifts for the infant Jesus
Cassirer|German philosopher concerned with concept formation in the human mind and with symbolic forms in human culture generally (1874-1945)
Cassius|prime mover in the conspiracy against Julius Caesar (died in 42 BC)
Castro|Cuban socialist leader who overthrew a dictator in 1959 and established a Marxist socialist state in Cuba (born in 1927)
Cather|United States writer who wrote about frontier life (1873-1947)
Catherine I|empress of Russia who succeeded her husband Peter the Great (1684-1727)
Catherine II|empress of Russia who greatly increased the territory of the empire (1729-1796)
Catherine of Aragon|first wife of Henry VIII; Henry VIII's divorce from her was the initial step of the Reformation in England (1485-1536)
Catherine de Medicis|queen of France as the wife of Henry II and regent during the minority of her son Charles IX (1519-1589)
Catullus|Roman lyric poet remembered for his love poems to an aristocratic Roman woman (84-54 BC)
Cavell|English nurse who remained in Brussels after the German occupation in order to help Allied prisoners escape; was caught and executed by the Germans (1865-1915)
Cavendish|British chemist and physicist who established that water is a compound of hydrogen and oxygen and who calculated the density of the earth (1731-1810)
Caxton|English printer who in 1474 printed the first book in English (1422-1491)
Cellini|Italian sculptor (1500-1571)
Celsius|Swedish astronomer who devised the centigrade thermometer (1701-1744)
Cervantes|Spanish writer best remembered for `Don Quixote' which satirizes chivalry and influenced the development of the novel form (1547-1616)
Cezanne|French Post-impressionist painter who influenced modern art (especially cubism) by stressing the structural components latent in nature (1839-1906)
Chagall|French painter (born in Russia) noted for his imagery and brilliant colors (1887-1985)
Chamberlain|British statesman who as Prime Minister pursued a policy of appeasement toward fascist Germany (1869-1940)
Chambers|English architect (1723-1796)
Champlain|French explorer in Nova Scotia who established a settlement on the site of modern Quebec (1567-1635)
Champollion|Frenchman and Egyptologist who studied the Rosetta Stone and in 1821 became the first person to decipher Egyptian hieroglyphics (1790-1832)
Chandler|United States writer of detective thrillers featuring the character of Philip Marlowe (1888-1959)
Chaplin|English comedian and film maker; portrayed a downtrodden little man in baggy pants and bowler hat (1889-1977)
Chapman|United States pioneer who planted apple trees as he traveled (1774-1845)
Chain|British biochemist (born in Germany) who isolated and purified penicillin, which had been discovered in 1928 by Sir Alexander Fleming (1906-1979)
Capet|King of France elected in 987 and founding the Capetian dynasty (940-996)
Cattell|American psychologist and editor (1860-1944)
Cattell|American psychologist (born in England) who developed a broad theory of human behavior based on multivariate research (1905-1998)
Charcot|French neurologist who tried to use hypnotism to cure hysteria (1825-1893)
Charlemagne|king of the Franks and Holy Roman Emperor; conqueror of the Lombards and Saxons (742-814)
Charles|French physicist and author of Charles's law which anticipated Gay-Lussac's law (1746-1823)
Charles|the eldest son of Elizabeth II and heir to the English throne (born in 1948)
Charles|son of James I who was King of England and Scotland and Ireland; was deposed and executed by Oliver Cromwell (1600-1649)
Charles|King of England and Scotland and Ireland during the Restoration (1630-1685)
Charles|as Charles II he was Holy Roman Emperor and as Charles I he was king of France (823-877)
Charles|King of France who began his reign with most of northern France under English control; after the intervention of Jeanne d'Arc the French were able to defeat the English and end the Hundred Years' War (1403-1461)
Charles|King of France from 1560 to 1574 whose reign was dominated by his mother Catherine de Medicis (1550-1574)
Chase|United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
Chateaubriand|French statesman and writer; considered a precursor of the romantic movement in France (1768-1848)
Chaucer|English poet remembered as author of the Canterbury Tales (1340-1400)
Chavez|United States labor leader who organized farm workers (born 1927)
Chavez|Mexican composer of nationalistic works using themes from Indian folk music (1899-1978)
Cheever|United States writer of novels and short stories (1912-1982)
Chekhov|Russian dramatist whose plays are concerned with the difficulty of communication between people (1860-1904)
Cherubini|Italian composer of church music and operas (1760-1842)
Chesterfield|suave and witty English statesman remembered mostly for letters to his son (1694-1773)
Chesterton|conservative English writer of the Roman Catholic persuasion; in addition to volumes of criticism and polemics he wrote detective novels featuring Father Brown (1874-1936)
Chevalier|French actor and cabaret singer (1888-1972)
Chiang Kai-shek|Chinese military and political figure; in the Chinese civil war that followed World War II he was defeated by the Chinese communists and in 1949 was forced to withdraw to Taiwan where he served as president of Nationalist China until his death (1897-1975)
Chippendale|a British cabinetmaker remembered for his graceful designs (especially of chairs) which influenced his contemporaries (1718-1779)
Chirico|Italian painter (born in Greece) whose deep shadows and barren landscapes strongly influenced the surrealists (1888-1978)
Chomsky|United States linguist whose theory of generative grammar redefined the field of linguistics (born 1928)
Chopin|French composer (born in Poland) and pianist of the romantic school (1810-1849)
Chopin|United States writer who described Creole life in Louisiana (1851-1904)
Christie|prolific English writer of detective stories (1890-1976)
Christopher|Christian martyr and patron saint of travellers (3rd century)
